restaurant_id,order_hour,day_of_week,actual_prep_time_min,observed_prep_time_min,rush_index,reliability_score,for_bias,rf_pred,baseline_error,rf_error
16,2,3,24.7,28.16,0.4968553459119497,0.17808506180599204,3.460000000000001,20.269000000000005,3.460000000000001,4.430999999999994
150,19,3,21.49,24.5,0.49180327868852464,0.26149933092944627,3.0100000000000016,22.223750000000006,3.0100000000000016,0.7337500000000077
156,18,5,14.41,18.26,0.49230769230769234,0.23446658851113714,3.8500000000000014,15.215199999999998,3.8500000000000014,0.8051999999999975
167,18,3,19.15,20.03,0.4957507082152975,0.5795118417610722,0.8800000000000026,19.957499999999996,0.8800000000000026,0.8074999999999974
18,3,3,10.74,14.15,0.4942528735632184,0.44874007594062826,3.41,17.018400000000007,3.41,6.278400000000007
58,4,0,17.57,21.44,0.4965034965034965,0.20885510234784993,3.870000000000001,16.071499999999997,3.870000000000001,1.4985000000000035
35,18,6,16.27,21.17,0.49473684210526325,0.17736289381563594,4.900000000000002,13.736000000000004,4.900000000000002,2.5339999999999954
53,9,0,20.46,24.49,0.49612403100775193,0.20806074515776152,4.029999999999998,18.584800000000012,4.029999999999998,1.8751999999999889
76,10,5,24.26,26.89,0.9877300613496932,0.33854269180805413,2.629999999999999,20.428449999999998,2.629999999999999,3.8315500000000036
127,13,4,33.69,40.03,0.49549549549549554,0.12378944625164626,6.340000000000003,32.48675,6.340000000000003,1.203249999999997
73,4,6,20.4,27.7,0.49549549549549554,0.12903410801588552,7.300000000000001,20.5684,7.300000000000001,0.16840000000000188
149,11,1,16.19,18.74,0.49508196721311465,0.36076738932533126,2.549999999999997,18.340899999999998,2.549999999999997,2.1508999999999965
22,13,3,35.915,37.63,0.49612403100775193,0.5075891977133845,1.7150000000000034,30.656149999999993,1.7150000000000034,5.258850000000006
106,17,2,21.61,25.45,0.4892086330935252,0.2338039909324713,3.84,21.584700000000012,3.84,0.02529999999998722
100,19,3,24.19,24.19,0.490506329113924,0.5215592824063666,0.0,27.62455,0.0,3.434549999999998
96,0,3,27.37,29.57,0.49180327868852464,0.3906698839480639,2.1999999999999993,28.625450000000022,2.1999999999999993,1.255450000000021
191,18,3,16.02,19.51,0.49290780141843976,0.2978881855417842,3.490000000000002,20.022700000000007,3.490000000000002,4.002700000000008
94,10,3,15.61,16.67,0.4933333333333333,0.545664087306254,1.0600000000000023,16.351599999999987,1.0600000000000023,0.7415999999999876
177,17,5,24.27,31.51,0.49523809523809526,0.12066306299293052,7.240000000000002,23.502200000000006,7.240000000000002,0.767799999999994
100,2,5,20.17,20.22,0.490506329113924,0.5215592824063666,0.04999999999999716,19.73779999999999,0.04999999999999716,0.43220000000001235
118,16,2,19.67,19.71,0.4966442953020134,0.7321461810510641,0.03999999999999915,19.2506,0.03999999999999915,0.4194000000000031
27,20,5,24.76,25.73,0.49621212121212127,0.4253796612864753,0.9699999999999989,24.503800000000002,0.9699999999999989,0.25619999999999976
57,10,6,13.56,15.32,0.4911242603550296,0.315967746012487,1.7599999999999998,16.183699999999984,1.7599999999999998,2.6236999999999835
55,16,3,12.92,18.74,0.48948948948948945,0.15724243812448155,5.8199999999999985,14.121199999999996,5.8199999999999985,1.2011999999999965
64,9,6,17.17,17.17,0.49629629629629624,0.44668016447849046,0.0,17.7416,0.0,0.5715999999999966
151,20,2,22.77,22.77,0.49679487179487186,0.6827671820336304,0.0,21.097300000000004,0.0,1.6726999999999954
101,15,2,21.02,25.4,0.49814126394052044,0.17316543374903162,4.379999999999999,19.906600000000008,4.379999999999999,1.1133999999999915
25,19,5,26.53,33.18,0.4962406015037594,0.12659219830366455,6.649999999999999,24.279099999999993,6.649999999999999,2.2509000000000086
143,15,4,14.98,15.59,0.4966442953020134,0.8396893149534671,0.6099999999999994,19.56259999999999,0.6099999999999994,4.582599999999989
40,3,1,21.33,24.48,0.49025974025974034,0.21518414468572014,3.150000000000002,20.7731,3.150000000000002,0.5568999999999988
